,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,371,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.735132458529339,0.7636343216531896,0.7311545816483276
1,1,0,185,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.7307292083033549,0.7501235399820305,0.7281186696900983
2,2,0,189,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.7353307857007344,0.7631401617250674,0.7315148713206965
3,3,0,79,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.7217960691951595,0.7098684210526316,0.7232404625330056
4,4,0,132,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.7214717143935717,0.7203608797779202,0.7216322562725674
5,5,0,351,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.7419364804745427,0.7547229639519358,0.7401362781954887
6,6,0,191,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.7307287443921949,0.6849667774086379,0.7370886816264967
7,7,0,312,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.7385482691370064,0.7477899029982363,0.7372537212031375
8,8,0,83,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.7219480645250547,0.7596092503987241,0.7167422524565382
9,9,0,129,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.7332614299280966,0.7516474836380049,0.7307488280286208
10,10,0,223,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.7483129439621151,0.7651048026048025,0.7458197365240512
11,11,0,117,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.7347197193097422,0.7421871539313399,0.7336696876265222
12,12,0,75,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.7427978259670032,0.7602907509157509,0.7404009034443816
13,13,0,93,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.7438531319820183,0.7735174162257494,0.7397272560022076
14,14,0,129,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.7420383568225497,0.7316017316017315,0.7434232804232804
15,15,0,69,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.7329225882417373,0.7216913341913341,0.7345661863954548
16,16,0,52,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.7257731958762885,0.6651455026455027,0.7343323996265173
17,17,0,79,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.7404058441558441,0.7286052809749491,0.742013280457438
18,18,0,75,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.7544938953409676,0.7241181657848325,0.7587461037558251
19,19,0,77,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.1}",1.0,0.74519521359144,0.7337899543378995,0.7468277310924369
20,20,0,66,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.749346739842726,0.8041976980365606,0.7417971298108286
21,21,0,43,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.9}",1.0,0.7400901264460588,0.7473161139455782,0.7390431528368139
22,22,0,47,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.8}",1.0,0.7468006810567365,0.7698337825696316,0.7435923909642701
23,23,0,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.7}",1.0,0.7474762454001208,0.7128940308517773,0.752319119626812
24,24,0,53,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.6}",1.0,0.7704481386286378,0.7890301974448315,0.7679387038082689
25,25,0,36,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.5}",1.0,0.7527653699342159,0.7735588972431078,0.7499615975422427
26,26,0,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.4}",1.0,0.7643085282893646,0.8477398205659076,0.7529090051862329
27,27,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.3}",1.0,0.7356375027179822,0.761317907444668,0.732083294656394
