,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9959770114942529,0.7383401751505201,0.6978789446456286,0.6848137409945528,0.7482146909138059
1,1,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9988642816581488,0.7474013682701928,0.6577820085673489,0.7003107344632769,0.7568773143636719
2,2,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9988674971687429,0.7804110715633932,0.6049261083743842,0.7243208692873122,0.791797229791099
3,3,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",0.9982758620689656,0.7853892993979201,0.6208819057273188,0.7104761904761905,0.8009961970899471
4,4,0,404,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",1.0,0.8245084879054128,0.5120481927710844,0.774079143852663,0.8343609193166717
5,5,0,41,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",1.0,0.8263559862806094,0.5014778325123153,0.7285874081176095,0.8458704111249321
6,6,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9977129788450543,0.7424310490348226,0.6851282051282052,0.6570656125045438,0.7574718993178979
7,7,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9965596330275229,0.7524157656181739,0.6456888007928642,0.6921696847753185,0.7641348662752773
8,8,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9949267192784668,0.762944918666452,0.6412729026036644,0.698732325694783,0.7756486929680717
9,9,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",0.9977591036414566,0.8247819127651062,0.51611328125,0.7742664742664742,0.8348646313364055
10,10,1,355,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",1.0,0.8288309604702584,0.49852216748768474,0.7689277724512624,0.8409911444141688
