,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.787214423341591,0.8109338881183543,0.7840082489688789
1,1,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.7827478202548624,0.7880896751223853,0.7820154967816723
2,2,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.8018640262429082,0.7940993788819876,0.8030229288340905
3,3,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",1.0,0.8220043704418704,0.8082461001642036,0.8240716753022452
4,4,0,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",1.0,0.8139408541194255,0.7520442041358375,0.8242092342555
5,5,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",1.0,0.8100128662737611,0.7683470695970696,0.8174277239985658
6,6,0,15,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",1.0,0.7920519208255057,0.7866433239962651,0.7929750749027857
7,7,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",1.0,0.777334904382686,0.7217565139263252,0.7871997894938284
8,8,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",1.0,0.797889886005336,0.7702644526445265,0.802894225872167
9,9,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",1.0,0.7996086105675146,0.7076598887730274,0.8166545847026226
10,10,0,14,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",1.0,0.797158908507223,0.7211341073531886,0.8115309985049464
11,11,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",1.0,0.800381812804173,0.7949759326113116,0.8013841078600115
12,12,0,46,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",1.0,0.7914778834784478,0.7100577731092438,0.8062420634920633
13,13,0,41,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",1.0,0.7981472116870347,0.7771861471861472,0.802206572769953
14,14,0,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",1.0,0.8094370949961011,0.7437722419928826,0.8218208692873121
15,15,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",1.0,0.7903470540758676,0.7448440351750456,0.7991531002151366
16,16,0,27,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",1.0,0.7967418184815761,0.6925564343384413,0.8175933254188102
17,17,0,36,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",1.0,0.8125532545974222,0.7992316784869976,0.8150847131305353
18,18,0,91,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",1.0,0.812437882262997,0.7192755825734549,0.830407628167546
19,19,0,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",1.0,0.8150309773851196,0.7370965164589326,0.831432438794727
20,20,0,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",1.0,0.7984447116048973,0.7540744466800804,0.8072015950229988
21,21,0,147,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",1.0,0.8079841362774618,0.7174853956452469,0.8249015520037063
22,22,0,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",1.0,0.7947402597402596,0.7235956416464892,0.8090663091175037
23,23,0,76,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",1.0,0.8143276663640614,0.7923284907183213,0.8188469956227618
24,24,0,366,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",1.0,0.8098494098494098,0.7671780986762936,0.8178466718216381
25,25,0,283,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",1.0,0.825058006205315,0.7469483568075117,0.8400364940034083
26,26,0,64,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",1.0,0.8307547687662963,0.7360188261351053,0.8506400677425782
27,27,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",0.999438202247191,0.809271669341894,0.7608316566063045,0.8184675006366183
