,alpha,beta,iteration,p_u_sub,p_u_cand
0,0.0,-3.0,0.0,0.15789473684210525,0.15789473684210525
0,3.0,0.0,0.0,0.47619047619047616,0.42857142857142855
0,3.0,-3.0,0.0,0.47619047619047616,0.23809523809523808
0,0.0,-3.0,1.0,0.05263157894736842,0.05263157894736842
0,3.0,0.0,1.0,0.42105263157894735,0.2631578947368421
0,3.0,-3.0,1.0,0.55,0.45
0,0.0,-3.0,2.0,0.3333333333333333,0.2777777777777778
0,3.0,0.0,2.0,0.47058823529411764,0.23529411764705882
0,3.0,-3.0,2.0,0.42105263157894735,0.3684210526315789
0,0.0,-3.0,3.0,0.16666666666666666,0.16666666666666666
0,3.0,0.0,3.0,0.5238095238095238,0.38095238095238093
0,3.0,-3.0,3.0,0.631578947368421,0.5789473684210527
0,0.0,-3.0,4.0,0.15789473684210525,0.15789473684210525
0,3.0,0.0,4.0,0.5,0.07142857142857142
0,3.0,-3.0,4.0,0.55,0.35
0,0.0,-3.0,5.0,0.2777777777777778,0.2222222222222222
0,3.0,0.0,5.0,0.05,0.05
0,3.0,-3.0,5.0,0.47368421052631576,0.2631578947368421
0,0.0,-3.0,6.0,0.16666666666666666,0.1111111111111111
0,3.0,0.0,6.0,0.25,0.25
0,3.0,-3.0,6.0,0.55,0.5
0,0.0,-3.0,7.0,0.42105263157894735,0.42105263157894735
0,3.0,0.0,7.0,0.35294117647058826,0.29411764705882354
0,3.0,-3.0,7.0,0.8,0.7
0,0.0,-3.0,8.0,0.3157894736842105,0.3157894736842105
0,3.0,0.0,8.0,0.42105263157894735,0.21052631578947367
0,3.0,-3.0,8.0,0.4,0.25
0,0.0,-3.0,9.0,0.45,0.45
0,3.0,0.0,9.0,0.5294117647058824,0.4117647058823529
0,3.0,-3.0,9.0,0.6842105263157895,0.3157894736842105
0,0.0,-3.0,10.0,0.2,0.2
0,3.0,0.0,10.0,0.47619047619047616,0.2857142857142857
0,3.0,-3.0,10.0,0.6190476190476191,0.5714285714285714
0,0.0,-3.0,11.0,0.35294117647058826,0.35294117647058826
0,3.0,0.0,11.0,0.3888888888888889,0.16666666666666666
0,3.0,-3.0,11.0,0.3888888888888889,0.3888888888888889
0,0.0,-3.0,12.0,0.25,0.25
0,3.0,0.0,12.0,0.4090909090909091,0.3181818181818182
0,3.0,-3.0,12.0,0.5789473684210527,0.47368421052631576
0,0.0,-3.0,13.0,0.3684210526315789,0.3684210526315789
0,3.0,0.0,13.0,0.09523809523809523,0.09523809523809523
0,3.0,-3.0,13.0,0.75,0.5
0,0.0,-3.0,14.0,0.10526315789473684,0.10526315789473684
0,3.0,0.0,14.0,0.42105263157894735,0.42105263157894735
0,3.0,-3.0,14.0,0.6,0.6
0,0.0,-3.0,15.0,0.45,0.4
0,3.0,0.0,15.0,0.15,0.15
0,3.0,-3.0,15.0,0.4,0.35
0,0.0,-3.0,16.0,0.15789473684210525,0.10526315789473684
0,3.0,0.0,16.0,0.19047619047619047,0.09523809523809523
0,3.0,-3.0,16.0,0.631578947368421,0.42105263157894735
0,0.0,-3.0,17.0,0.0,0.0
0,3.0,0.0,17.0,0.5263157894736842,0.21052631578947367
0,3.0,-3.0,17.0,0.42857142857142855,0.38095238095238093
0,0.0,-3.0,18.0,0.375,0.375
0,3.0,0.0,18.0,0.5789473684210527,0.47368421052631576
0,3.0,-3.0,18.0,0.36363636363636365,0.2727272727272727
0,0.0,-3.0,19.0,0.25,0.25
0,3.0,0.0,19.0,0.391304347826087,0.30434782608695654
0,3.0,-3.0,19.0,0.35,0.3
0,0.0,-3.0,20.0,0.29411764705882354,0.29411764705882354
0,3.0,0.0,20.0,0.45,0.35
0,3.0,-3.0,20.0,0.8,0.65
0,0.0,-3.0,21.0,0.058823529411764705,0.058823529411764705
0,3.0,0.0,21.0,0.3,0.2
0,3.0,-3.0,21.0,0.35,0.15
0,0.0,-3.0,22.0,0.0625,0.0625
0,3.0,0.0,22.0,0.5,0.5
0,3.0,-3.0,22.0,0.47619047619047616,0.2857142857142857
0,0.0,-3.0,23.0,0.22727272727272727,0.13636363636363635
0,3.0,0.0,23.0,0.3684210526315789,0.3684210526315789
0,3.0,-3.0,23.0,0.45,0.35
0,0.0,-3.0,24.0,0.13333333333333333,0.13333333333333333
0,3.0,0.0,24.0,0.2631578947368421,0.10526315789473684
0,3.0,-3.0,24.0,0.3684210526315789,0.3684210526315789
0,0.0,-3.0,25.0,0.16666666666666666,0.16666666666666666
0,3.0,0.0,25.0,0.38095238095238093,0.38095238095238093
0,3.0,-3.0,25.0,0.7368421052631579,0.5789473684210527
0,0.0,-3.0,26.0,0.15789473684210525,0.15789473684210525
0,3.0,0.0,26.0,0.2777777777777778,0.2777777777777778
0,3.0,-3.0,26.0,0.6190476190476191,0.5714285714285714
0,0.0,-3.0,27.0,0.17647058823529413,0.17647058823529413
0,3.0,0.0,27.0,0.3333333333333333,0.3333333333333333
0,3.0,-3.0,27.0,0.8421052631578947,0.7368421052631579
0,0.0,-3.0,28.0,0.26666666666666666,0.2
0,3.0,0.0,28.0,0.25,0.15
0,3.0,-3.0,28.0,0.6190476190476191,0.42857142857142855
0,0.0,-3.0,29.0,0.1111111111111111,0.1111111111111111
0,3.0,0.0,29.0,0.4,0.35
0,3.0,-3.0,29.0,0.7,0.65
0,0.0,-3.0,30.0,0.17647058823529413,0.11764705882352941
0,3.0,0.0,30.0,0.3333333333333333,0.3333333333333333
0,3.0,-3.0,30.0,0.65,0.5
0,0.0,-3.0,31.0,0.05,0.05
0,3.0,0.0,31.0,0.14285714285714285,0.14285714285714285
0,3.0,-3.0,31.0,0.65,0.45
0,0.0,-3.0,32.0,0.2222222222222222,0.05555555555555555
0,3.0,0.0,32.0,0.3181818181818182,0.3181818181818182
0,3.0,-3.0,32.0,0.3333333333333333,0.2777777777777778
0,0.0,-3.0,33.0,0.2631578947368421,0.10526315789473684
0,3.0,0.0,33.0,0.5,0.3
0,3.0,-3.0,33.0,0.47619047619047616,0.38095238095238093
0,0.0,-3.0,34.0,0.2777777777777778,0.2777777777777778
0,3.0,0.0,34.0,0.6666666666666666,0.5238095238095238
0,3.0,-3.0,34.0,0.5909090909090909,0.36363636363636365
0,0.0,-3.0,35.0,0.3157894736842105,0.3157894736842105
0,3.0,0.0,35.0,0.5294117647058824,0.5294117647058824
0,3.0,-3.0,35.0,0.7619047619047619,0.6666666666666666
0,0.0,-3.0,36.0,0.2857142857142857,0.2857142857142857
0,3.0,0.0,36.0,0.5714285714285714,0.42857142857142855
0,3.0,-3.0,36.0,0.5263157894736842,0.3157894736842105
0,0.0,-3.0,37.0,0.35294117647058826,0.23529411764705882
0,3.0,0.0,37.0,0.19047619047619047,0.09523809523809523
0,3.0,-3.0,37.0,0.5789473684210527,0.2631578947368421
0,0.0,-3.0,38.0,0.3125,0.3125
0,3.0,0.0,38.0,0.3333333333333333,0.16666666666666666
0,3.0,-3.0,38.0,0.5,0.45
0,0.0,-3.0,39.0,0.21052631578947367,0.15789473684210525
0,3.0,0.0,39.0,0.42857142857142855,0.42857142857142855
0,3.0,-3.0,39.0,0.5238095238095238,0.5238095238095238
0,0.0,-3.0,40.0,0.3888888888888889,0.2777777777777778
0,3.0,0.0,40.0,0.6190476190476191,0.5714285714285714
0,3.0,-3.0,40.0,0.8947368421052632,0.8947368421052632
0,0.0,-3.0,41.0,0.375,0.375
0,3.0,0.0,41.0,0.45454545454545453,0.4090909090909091
0,3.0,-3.0,41.0,0.2631578947368421,0.2631578947368421
0,0.0,-3.0,42.0,0.2222222222222222,0.2222222222222222
0,3.0,0.0,42.0,0.5,0.0625
0,3.0,-3.0,42.0,0.47619047619047616,0.2857142857142857
0,0.0,-3.0,43.0,0.2,0.2
0,3.0,0.0,43.0,0.4,0.2
0,3.0,-3.0,43.0,0.42857142857142855,0.3333333333333333
0,0.0,-3.0,44.0,0.21052631578947367,0.05263157894736842
0,3.0,0.0,44.0,0.5625,0.4375
0,3.0,-3.0,44.0,0.42105263157894735,0.3684210526315789
0,0.0,-3.0,45.0,0.3157894736842105,0.2631578947368421
0,3.0,0.0,45.0,0.5714285714285714,0.38095238095238093
0,3.0,-3.0,45.0,0.55,0.45
0,0.0,-3.0,46.0,0.15,0.15
0,3.0,0.0,46.0,0.6666666666666666,0.42857142857142855
0,3.0,-3.0,46.0,0.7,0.6
0,0.0,-3.0,47.0,0.25,0.25
