,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,398,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.7314269443540513,0.6186813186813187,0.7510217723453018
1,1,0,54,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.7104228527438687,0.6726190476190476,0.7155824271966004
2,2,0,178,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.7315213788531654,0.6563775510204081,0.7427428571428573
3,3,0,42,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.7028812974465148,0.7388447971781306,0.6974867724867725
4,4,0,95,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.7676320642152078,0.8247448979591836,0.7592813626756185
5,5,0,131,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.714566307072028,0.6683571428571429,0.720536483327181
6,6,0,112,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.7063994952819838,0.7555952380952381,0.6985071301247772
7,7,0,204,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.7675756113256114,0.7416666666666666,0.7711630036630037
8,8,0,70,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.7322923461622091,0.6505840071877806,0.7435405071119358
9,9,0,145,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.7615739293529228,0.6632680491551459,0.7770042194092827
10,10,0,67,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.7293711576534334,0.6151067323481116,0.7459810239885428
11,11,0,121,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.7293083900226758,0.7930952380952381,0.7211515040798928
12,12,0,176,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.7552572523262179,0.6446324143692564,0.7719387755102043
13,13,0,76,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.7212880291005291,0.6414369256474519,0.7334253968253969
14,14,0,70,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.7431039158260115,0.7120718462823726,0.7477343555223136
15,15,0,24,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.7125735375735376,0.667413236481033,0.7197747747747746
16,16,0,27,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.7455766956895624,0.6708994708994709,0.7559431999020688
17,17,0,70,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.7287331325973012,0.6294430272108843,0.7437203183160056
18,18,0,43,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.7616393356459582,0.7056444991789819,0.7698613622664255
19,19,0,39,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.1}",1.0,0.7460227883478447,0.8139162561576355,0.7357946815089672
20,20,0,26,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.7402478799739073,0.6917261904761904,0.7479497354497355
21,21,0,24,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.9}",1.0,0.7459183673469386,0.6292740046838409,0.7653590944574551
22,22,0,20,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.8}",1.0,0.7290603248259862,0.6467408274785323,0.7426319176319176
23,23,0,41,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.7}",1.0,0.76738208347472,0.7887864823348694,0.7636855020559756
24,24,0,42,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.6}",1.0,0.7659633278598796,0.7814954051796158,0.7636211892164273
25,25,0,23,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.5}",1.0,0.7428122690317812,0.8019480519480521,0.7345989658489658
26,26,0,61,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.4}",1.0,0.7787662822976724,0.7741228070175438,0.7794466887011874
27,27,0,23,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.3}",1.0,0.7730029830957905,0.7763575605680869,0.7724917239623122
28,28,0,23,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.2}",1.0,0.776801447451227,0.8013492063492064,0.7730632100555959
29,29,0,18,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.1}",1.0,0.7266323314195654,0.7517752715121138,0.7227166276346605
30,30,0,57,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.7731284856284857,0.7592549923195084,0.7753802044377961
31,31,0,16,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.9}",1.0,0.7761179881788781,0.7377684407096172,0.7813196555217831
32,32,0,19,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.8}",1.0,0.7614730802230802,0.7183645589383295,0.7683389282605992
33,33,0,23,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.7}",1.0,0.7636755613407095,0.654563492063492,0.780949239854253
34,34,0,19,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.6}",1.0,0.7788663171690695,0.7860877684407096,0.7779097093382806
35,35,0,16,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.5}",1.0,0.7711798941798942,0.6702003023431595,0.7876184323858743
36,36,0,11,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.4}",1.0,0.8076065437115765,0.752342549923195,0.8162808921036768
37,37,0,10,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.3}",1.0,0.745376712328767,0.768805114638448,0.7420820932539683
38,38,0,11,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.2}",1.0,0.8010152425456163,0.8383575464083939,0.7950445218737902
39,39,0,17,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.1}",1.0,0.8171137685843568,0.7490112994350283,0.8276047494715902
40,40,0,9,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.0}",1.0,0.7491714738151792,0.7626916868442292,0.7469679031833728
41,41,0,9,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -0.9}",1.0,0.8134655475093263,0.7285296574770259,0.8263073133762788
42,42,0,10,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -0.8}",1.0,0.7634126984126984,0.8191102756892231,0.7550138573948098
