,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,86,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -5.0}",1.0,0.7202991452991453,0.8274725274725274,0.7055166098269546
1,1,0,69,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -4.0}",1.0,0.7518962585034014,0.7228487886382623,0.7564574314574315
2,2,0,41,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -3.0}",1.0,0.7224702380952381,0.6907509157509157,0.7268107769423559
3,3,0,31,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -2.0}",1.0,0.787010458388963,0.7494569757727653,0.7927801309202926
4,4,0,12,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -1.0}",1.0,0.760590849242923,0.726171875,0.7665444015444015
5,5,0,7,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0.0}",1.0,0.7990658068783069,0.641984126984127,0.8244015616999489
6,6,0,116,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -5.0}",1.0,0.7053230543318649,0.6957181259600616,0.7068422011661808
7,7,0,37,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -4.0}",1.0,0.7213718820861678,0.6658163265306121,0.7294526901669759
8,8,0,153,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -3.0}",1.0,0.7522729610202613,0.7444264069264069,0.7535774259325897
9,9,0,36,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -2.0}",1.0,0.8001248751248752,0.7671743697478991,0.8063316185199841
10,10,0,16,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -1.0}",1.0,0.8069276451999563,0.6766599597585512,0.8321981524850376
11,11,0,10,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0.0}",1.0,0.8013808451308453,0.7848901098901099,0.8042090714913933
12,12,0,76,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -5.0}",1.0,0.7202798175344903,0.6690476190476191,0.7284714156665376
13,13,0,119,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -4.0}",1.0,0.7658949096880131,0.6082662642521798,0.796641156462585
14,14,0,85,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -3.0}",1.0,0.7468144499178981,0.5832380952380952,0.7808928571428572
15,15,0,37,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -2.0}",1.0,0.81235536270583,0.7915178571428572,0.8165696896736223
16,16,0,58,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -1.0}",1.0,0.8173793508434763,0.8655569007263924,0.8100344530577087
17,17,0,10,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0.0}",1.0,0.7851060132082031,0.6582517938682322,0.8125035221189066
18,18,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -5.0}",0.9905882352941177,0.7458235294117648,0.6872294372294372,0.7565957023477915
19,19,0,193,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -4.0}",1.0,0.7280756177749497,0.6453907203907203,0.7454595045565395
20,20,0,40,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -3.0}",1.0,0.7612156862745096,0.7316230717639167,0.7671509281678772
21,21,0,83,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -2.0}",1.0,0.8053454204438886,0.7544444444444444,0.8153390675641985
22,22,0,11,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -1.0}",1.0,0.7579401485364787,0.6756338899196043,0.7755935800504044
23,23,0,9,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0.0}",1.0,0.8285038838230327,0.8038308913308914,0.8340821256038647
24,24,0,101,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -5.0}",1.0,0.7381861772486772,0.6699027498323272,0.7516158818097876
25,25,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -4.0}",0.9977324263038548,0.7599098369506532,0.7281209781209781,0.7663195796029583
26,26,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -3.0}",0.9977324263038548,0.7770948061764389,0.649671052631579,0.8036268754076972
27,27,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -2.0}",0.9934640522875817,0.7654606286959227,0.641765873015873,0.7884736064968624
28,28,0,314,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -1.0}",1.0,0.786769991015274,0.7265136054421769,0.7986850955071294
29,29,0,68,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0.0}",1.0,0.8066067486597288,0.6842063492063492,0.830892542202066
30,30,0,394,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': -5.0}",1.0,0.7483771209633279,0.6653085177733065,0.7645800627943484
31,31,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': -4.0}",0.9851063829787234,0.7530192502532927,0.6343537414965986,0.7762692354295407
