,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9914163090128756,0.7341814837522991,0.6884955752212389,0.7015194235588972,0.740546398046398
1,1,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9977578475336323,0.762644138372838,0.6106870229007634,0.7256696428571429,0.7707259953161593
2,2,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9977477477477478,0.7923182110682111,0.6363636363636364,0.690018315018315,0.8141198282591724
3,3,0,483,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",1.0,0.8217738371450668,0.5272331154684096,0.7874839124839125,0.8288815526210483
4,4,0,136,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",1.0,0.8237871148459384,0.5460992907801419,0.7667124542124543,0.8366165774667215
5,5,0,34,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",1.0,0.7945724229366921,0.5449101796407185,0.7425595238095238,0.8057075788061703
6,6,1,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9891774891774892,0.7505978148835291,0.6923076923076923,0.6083650793650793,0.7781622985111357
7,7,1,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9976958525345622,0.7586542681588765,0.6329365079365079,0.7411027568922305,0.7623802873104548
8,8,1,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9907192575406032,0.7312203071483814,0.6903353057199211,0.6522881880024738,0.7483891579230563
9,9,1,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",0.9955456570155902,0.7679525930639516,0.6679174484052532,0.6696815089672232,0.7882936507936507
10,10,1,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",0.9977528089887641,0.8111824505082932,0.62004662004662,0.6865079365079365,0.8376800311405217
11,11,1,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",0.9977678571428571,0.8267086522108843,0.4701348747591522,0.7467460317460316,0.842786927103281
12,12,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.997716894977169,0.786328549684714,0.6568848758465011,0.7336550836550837,0.7970368916797488
13,13,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.990909090909091,0.7911850649350649,0.6363636363636364,0.6857299498746867,0.8132031658817374
14,14,2,291,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",1.0,0.7678115615615615,0.6299212598425197,0.7245670995670995,0.7768846503178929
15,15,2,66,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",1.0,0.7845719954648527,0.5818965517241379,0.7508288125376733,0.7923893310990084
16,16,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",0.9977678571428571,0.7988095238095239,0.5166666666666667,0.8161810776942356,0.795260496671787
17,17,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",0.9977477477477478,0.7877949377949378,0.6130346232179226,0.7328231292517007,0.7980837789661319
18,18,3,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9910514541387024,0.7760226909555769,0.668041237113402,0.6538220551378445,0.8010557053009884
19,19,3,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9955456570155902,0.756302365044013,0.650853889943074,0.6802045177045177,0.7723013733795405
20,20,3,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.995575221238938,0.7470633164770333,0.6672694394213382,0.6920024420024421,0.7585466004583651
21,21,3,21,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",1.0,0.7939690026954178,0.6179540709812108,0.7103937728937729,0.8128096614368292
22,22,3,66,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",1.0,0.8294438815715411,0.5522041763341067,0.748917748917749,0.8473644371043215
23,23,3,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",0.9955849889624724,0.7782981183643436,0.6381322957198443,0.7109993293091884,0.7908065320368984
24,24,4,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9870689655172413,0.7308215311986864,0.7591522157996147,0.6274737167594311,0.7513842746400886
25,25,4,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9977324263038548,0.7703514739229024,0.628131021194605,0.7115444862155388,0.7825962165688194
26,26,4,189,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",1.0,0.7996539313399779,0.6012931034482759,0.7331885456885456,0.8134697699304441
27,27,4,42,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",1.0,0.7703025905621842,0.6280834914611005,0.6776785714285715,0.7907155975337794
28,28,4,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",0.9976905311778291,0.8220746728252503,0.5570175438596491,0.7599478147423353,0.8346726190476191
29,29,4,123,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",1.0,0.8483816107087997,0.4175365344467641,0.8853764478764479,0.8407771164021164
