,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,401,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -5.0}",1.0,0.7286414973914973,0.6845425867507886,0.7178182020471741,0.7301835647707818
1,1,0,197,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -4.0}",1.0,0.7329948579087007,0.6742424242424242,0.768329831932773,0.7283049849738203
2,2,0,59,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -3.0}",1.0,0.7603418424867128,0.6276754604280737,0.7349914965986394,0.7640053763440862
3,3,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -2.0}",1.0,0.7641001944193433,0.615819209039548,0.7280471821756226,0.7692675558060174
4,4,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -1.0}",1.0,0.7854330708661418,0.5697503671071953,0.706614906832298,0.7971437799926171
5,5,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0.0}",1.0,0.786266859344894,0.5474416294088426,0.7749012508229098,0.7878969565354232
6,6,0,241,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -5.0}",1.0,0.7392093054987038,0.6823467230443975,0.7126947040498443,0.7429154614164412
7,7,0,131,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -4.0}",1.0,0.746545836076366,0.6442405708460754,0.742741935483871,0.7470892504467226
8,8,0,56,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -3.0}",1.0,0.7515820281601012,0.628827131417805,0.7773959583833534,0.7476638423226434
9,9,0,65,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -2.0}",1.0,0.776895016107637,0.5997978777160182,0.7532062227281351,0.7808379120879121
10,10,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -1.0}",1.0,0.7970933646506164,0.533297529538131,0.777627418154762,0.8005372363181623
11,11,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0.0}",1.0,0.7843663968163109,0.5843957164711882,0.7778957528957529,0.785492671530978
12,12,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -5.0}",0.9988662131519275,0.7317608789547564,0.6913827655310621,0.7297116736990155,0.7320789284934667
13,13,0,89,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -4.0}",1.0,0.7426382752413679,0.6302314130969966,0.6965632406808877,0.7493153786104606
14,14,0,77,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -3.0}",1.0,0.7689570698562445,0.639751552795031,0.7270845285905526,0.7761625037022412
15,15,0,41,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -2.0}",1.0,0.7595056769046223,0.6092882382635033,0.7211286804798255,0.7664639973636512
16,16,0,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -1.0}",1.0,0.8011628533699842,0.5367754505601559,0.7813637955182073,0.8047650899824813
17,17,0,14,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0.0}",1.0,0.8049693310331607,0.5207189216175736,0.7698126181880695,0.8116303498143442
18,18,0,255,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -5.0}",1.0,0.72524156523596,0.6764150943396227,0.7149909963985595,0.7268195958849257
19,19,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -4.0}",0.9988512349224583,0.7466521703454501,0.6677018633540373,0.7172547332185886,0.7515583109919571
20,20,0,286,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -3.0}",1.0,0.7663084764697669,0.6128016789087093,0.748671995874162,0.7697295584900626
21,21,0,377,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -2.0}",1.0,0.7995067627990163,0.5734149054505006,0.7779556650246305,0.8034047784047784
22,22,0,62,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -1.0}",1.0,0.8148025685259728,0.5401574803149606,0.7536288998357963,0.8270457458345656
23,23,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0.0}",1.0,0.7986587707200995,0.5644923982344286,0.7378496503496503,0.8104495560936238
24,24,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -5.0}",0.9977051061388411,0.7296430620440949,0.6767626613704072,0.742827380952381,0.7275377815796978
25,25,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -4.0}",0.9966405375139977,0.7418926305124515,0.6429567642956764,0.6984755053100377,0.7498965833017557
26,26,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -3.0}",0.9958358120166567,0.7619777060139938,0.6681222707423581,0.663747795414462,0.7807743579359454
27,27,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -2.0}",0.9988571428571429,0.7710244897959183,0.6178217821782178,0.716,0.7812832929782082
28,28,0,66,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': -1.0}",1.0,0.8045569704204802,0.5389363722697056,0.760547201336675,0.8128634500157678
