,RunId,iteration,Step,side,density,population,policy,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,500,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",0.9994186046511628,0.7301647286821705,0.68580375782881,0.7319681083442552,0.7299029864941982
1,1,0,286,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.7101063391311515,0.6982630272952853,0.6515054452274183,0.7187606433301797
2,2,0,40,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.7311074829931973,0.6954522227899846,0.7303835327234341,0.7312024809923968
3,3,0,245,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.7255672784110815,0.6895377128953771,0.7000000000000001,0.7289970352711045
4,4,0,69,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.7154394347790575,0.7162230035158212,0.6982142857142857,0.7178664616531544
5,5,0,84,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.7221190341597351,0.712128837443382,0.7412518853695325,0.7193875353759075
6,6,0,25,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.7260758630099604,0.7052793439261917,0.6809684684684684,0.7326509395616422
7,7,0,127,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.725374667633551,0.7049261083743842,0.7124731874731874,0.7272213011574714
8,8,0,18,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.7305672467287199,0.6802523047064531,0.7228360035603026,0.7316339688680116
9,9,0,261,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.7464518469837619,0.670042643923241,0.7152561498533062,0.7507596297681376
10,10,0,7,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.7443835210432721,0.6618122977346278,0.7271035598705502,0.7467870808012603
11,11,0,24,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.720378861003861,0.6911487758945386,0.7236977420076011,0.7199265758766717
12,12,0,46,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.7302202517162472,0.6986652977412731,0.7006464124111184,0.7345004209935447
13,13,0,41,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.7262138975882653,0.6886112445939452,0.7148058773058773,0.727840474661284
14,14,0,14,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.7386820162971386,0.673582995951417,0.6929163973281619,0.7452582203232397
15,15,0,18,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.7370633113803289,0.673,0.7543244739756367,0.7346565993453154
16,16,0,69,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.7288673699468514,0.6878332525448376,0.6876603609480322,0.7346708007962026
17,17,0,23,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.7319937117059013,0.6803157375431672,0.7068034670008354,0.7357135146804835
18,18,0,6,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.727845058826654,0.6829501915708812,0.6922218406593407,0.7325199038605978
