,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,426,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.8443281258388361,0.38761579717211114,0.8699766355140187,0.8408096764346764
1,1,0,326,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.8460616530076598,0.3954568921011874,0.8440059523809523,0.8463221980807533
2,2,0,195,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.8301421381560754,0.42696629213483145,0.851077943615257,0.8273754735293197
3,3,0,390,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.8401393268116528,0.4094292803970223,0.8335990646258503,0.8410887880751781
4,4,0,325,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.8363711710230699,0.40111845449923744,0.8433101045296167,0.8354432640636161
5,5,0,250,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.8450438703718794,0.38964303670186023,0.8549778516057586,0.8436551798872994
6,6,0,150,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.847048196081664,0.3914871255911718,0.856945412311266,0.8457203627524309
7,7,0,152,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.8348931481789456,0.3973777105395865,0.8092762847713342,0.8383064769443398
8,8,0,227,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.841443494776828,0.39641434262948205,0.8279113067027758,0.8432927769553415
9,9,0,171,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.8477188722514502,0.3810930576070901,0.8644748553627057,0.8454069571090849
10,10,0,124,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.8462285549323655,0.37580246913580245,0.8418967103749712,0.8468165495706479
11,11,0,143,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.8415073438910314,0.3875813720580871,0.8545988258317024,0.8396236155434579
12,12,0,183,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.840717611066773,0.38799076212471134,0.853259361997226,0.83908655002405
13,13,0,278,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.8590405674464908,0.3557540725170783,0.8476133241758241,0.8606104925457633
14,14,0,91,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.8491436449080487,0.3711340206185567,0.8420852359208523,0.8501513317191283
15,15,0,170,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.8544175410277105,0.3638132295719844,0.860254329004329,0.8535890937019969
16,16,0,88,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.8427635327635328,0.3915873810716074,0.845843776106934,0.8423036143075435
17,17,0,95,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.840755313424805,0.39980353634577603,0.8384902840059789,0.8410818173423216
18,18,0,96,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.8535025352733685,0.3425196850393701,0.854390919158361,0.8533762943379599
19,19,0,109,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.1}",1.0,0.859566568930879,0.35767511177347244,0.8344814814814815,0.8632579650565262
20,20,0,72,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.8654768758395702,0.3401744484350949,0.8310366127583109,0.8702646370023418
21,21,0,71,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.9}",1.0,0.8687581913499345,0.31786427145708585,0.8612578821482929,0.8698352849336456
22,22,0,41,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.8}",1.0,0.8545760412427079,0.35340572556762095,0.8038371598639455,0.8619996267612204
23,23,0,41,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.7}",1.0,0.865997844291518,0.33893851812926956,0.8251645819618169,0.8718815215329159
24,24,0,57,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.6}",1.0,0.87995543380489,0.30369989722507706,0.8641013485040032,0.8823111361572901
25,25,0,39,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.5}",1.0,0.8730983925828395,0.3297815663292488,0.8462797619047618,0.8770715230536659
26,26,0,43,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.4}",1.0,0.8660836189361644,0.3423710792131845,0.9117273351648352,0.8597585736493132
27,27,0,43,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.3}",1.0,0.8687212643678162,0.32261256803562594,0.8662890706943571,0.8690861737953609
28,28,0,38,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.2}",1.0,0.8759953952629111,0.3065094823167606,0.8721768707482993,0.8765239978654613
