,center_segregation
0,0.5811649659863946
1,0.5652532250358336
2,0.6457835642618251
3,0.684981684981685
4,0.6984981078524124
5,0.7078997161778618
6,0.7040648496240601
7,0.7156944444444445
8,0.7156897642778041
9,0.7171729156778991
10,0.7217014712861889
11,0.7163169888417412
12,0.731152125279642
13,0.7238293650793651
14,0.7167297382529171
15,0.7204951748141117
16,0.7192328918322296
17,0.7185374149659864
18,0.7288262462175507
19,0.7170845159255755
20,0.7197256385998108
21,0.7272057652492435
22,0.7309684143017476
23,0.7333493128795142
24,0.7264691829909221
25,0.7288262462175505
26,0.7246309523809523
27,0.7318032917865132
28,0.7365052732502397
29,0.7372093955427288
30,0.7385027165228508
31,0.7356743368488334
32,0.7361191277857945
33,0.7374041227229147
34,0.7345198279980889
35,0.7303968253968253
36,0.7306577480490523
37,0.7457506053268765
38,0.7423423423423424
39,0.7418034105534106
40,0.7445664414414414
41,0.7432566585956416
42,0.7472316384180792
43,0.7379228795895463
44,0.7361191277857945
45,0.7438947876447877
46,0.7352573352573353
47,0.7388433075933076
48,0.7386804553471219
49,0.7392336059002725
50,0.7349446849446849
51,0.7440314769975787
52,0.7449394673123487
53,0.7483560090702948
54,0.7424697336561743
55,0.7483615819209039
56,0.7457465698143664
57,0.7483777239709443
58,0.7453026634382566
59,0.7465213882163034
60,0.746412429378531
61,0.7437620656370656
62,0.7406451093951094
63,0.7477441485068602
64,0.7472007722007722
65,0.7448853615520282
66,0.7466891133557799
67,0.7477960102960103
68,0.7445646945646947
69,0.7499356499356499
70,0.7487089768339767
71,0.7469192406692406
72,0.7472530566280566
73,0.7451898326898326
74,0.7474621943371943
75,0.7447514478764479
76,0.7474621943371943
77,0.7478894269572235
78,0.7499757869249394
79,0.7532647296206617
80,0.7483268983268982
81,0.7447771364438032
82,0.7465693371943372
83,0.7466578185328185
84,0.7522679580306698
85,0.7450410231660232
86,0.7470117438867439
87,0.7450410231660232
88,0.7500887812752219
89,0.7467583655083654
90,0.7479166666666667
91,0.7489467312348669
92,0.7492615012106537
93,0.7484947538337369
94,0.7506739305891849
95,0.7485875706214689
96,0.7503026634382567
97,0.7458453989703989
98,0.7456870290203623
99,0.7519330104923325
100,0.7532647296206618
101,0.749774011299435
102,0.751904761904762
103,0.7497941888619855
104,0.7507142857142858
105,0.7503591606133979
106,0.7508434221146086
107,0.7489467312348669
108,0.7479166666666667
109,0.7484624697336562
110,0.7486808236808237
111,0.7473415379665379
112,0.7502986279257465
113,0.7506133979015335
114,0.7466980373230374
115,0.7478764478764479
116,0.7466980373230374
117,0.7510976594027442
118,0.7508555286521388
119,0.750088781275222
120,0.7467583655083655
121,0.7488899613899614
122,0.7467583655083655
123,0.7475024131274132
124,0.7503712671509282
125,0.7537536443148688
126,0.7503712671509282
127,0.7479166666666667
128,0.7499356499356499
129,0.7532647296206618
130,0.7506618240516546
131,0.7515698143664246
132,0.7532647296206618
133,0.7515698143664246
134,0.751408393866021
135,0.7532647296206618
136,0.7519330104923325
137,0.7515819209039548
138,0.7537536443148688
139,0.7558066083576288
140,0.7546242306446388
141,0.7498466505246166
142,0.7527696793002916
143,0.7516505246166264
144,0.7509039548022599
145,0.7551303854875284
146,0.7532647296206618
147,0.7518724778046812
148,0.7515698143664247
149,0.7518724778046812
150,0.7532647296206618
151,0.7518240516545601
152,0.7526513317191282
153,0.750774818401937
154,0.7510976594027442
155,0.750682001614205
156,0.7496045197740113
157,0.748866020984665
158,0.7550777453838678
159,0.7541464204729511
160,0.7558875931324911
161,0.7558066083576288
162,0.7558875931324911
163,0.7541464204729511
164,0.7558875931324911
165,0.7558066083576288
166,0.7543205377389051
167,0.7549562682215744
168,0.757350073135056
169,0.7540654356980888
170,0.7550777453838678
171,0.7540654356980888
172,0.7550777453838678
173,0.7558875931324911
174,0.7539965986394558
175,0.758438972858768
176,0.7568503169185763
177,0.7538103336572725
178,0.7541464204729511
179,0.7542395529640428
180,0.7533365727243279
181,0.7549562682215744
182,0.7558066083576288
183,0.7550777453838678
184,0.7540654356980888
185,0.7550777453838678
186,0.7558875931324911
187,0.7546930677032717
188,0.7558875931324911
189,0.7550777453838678
190,0.7540654356980888
191,0.7549765144152899
192,0.7551182377712989
193,0.7549765144152899
194,0.7551182377712989
195,0.7545472951085196
196,0.7558875931324911
197,0.7582439460425808
198,0.758438972858768
199,0.7550777453838678
200,0.7540654356980888
201,0.7550777453838678
202,0.7558875931324911
203,0.7550777453838678
204,0.7540654356980888
205,0.7533365727243279
206,0.7527575315840622
207,0.7538224813735018
208,0.7541464204729511
209,0.7541464204729511
210,0.7593816024703396
211,0.7539844509232264
212,0.7589224768405656
213,0.7593816024703396
214,0.7585689907362262
215,0.7593816024703396
216,0.7585689907362262
217,0.7582439460425808
218,0.7585689907362262
219,0.7578132618235007
220,0.7582439460425808
221,0.7585689907362262
222,0.7593816024703396
223,0.7585689907362262
224,0.7582439460425808
225,0.7585689907362262
226,0.7598651064521372
227,0.7598244758654316
228,0.7598651064521372
229,0.7578132618235007
230,0.7582439460425808
231,0.7578132618235007
232,0.7585689907362262
233,0.7631604696673189
234,0.7631604696673189
235,0.7645213716886071
236,0.7645213716886071
