,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9943181818181818,0.7528510551948052,0.6671850699844479,0.6954474097331239,0.763389854933231
1,1,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9930755914598961,0.7547248097161542,0.6786833855799373,0.6533091908091908,0.7747696383321816
2,2,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9910564561207379,0.7720767121829168,0.6663351566384883,0.6685559889484805,0.7923518270944742
3,3,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",0.999418942475305,0.8038121524030879,0.5566426364572605,0.7408333333333333,0.8171081733185885
4,4,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",0.9988310929281122,0.7853963151596115,0.6098310291858678,0.6808390022675737,0.8070899284202038
5,5,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",0.9971574758385446,0.7947643412111861,0.6032470826991375,0.7072705552809359,0.8119655004859087
6,6,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9971395881006865,0.7482973738694563,0.690251572327044,0.6869134833420548,0.7596585956416465
7,7,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9921875,0.7457556069302721,0.700589970501475,0.6437655550024888,0.765204872646733
8,8,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9994232987312572,0.7764451859175043,0.5889935547843331,0.772858740811761,0.7771894482026793
9,9,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",0.999429874572406,0.8007723842102404,0.5598014888337469,0.7617667928098392,0.8088851174078446
10,10,1,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",0.9988525530694206,0.8068416523235801,0.5471032745591939,0.7627038486627529,0.8157239670506382
11,11,1,93,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",1.0,0.8445447563189499,0.46145374449339205,0.7781351924331376,0.8582684595423448
