,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,341,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -5.0}",1.0,0.7333149974193899,0.766929945054945,0.7287894899059947
1,1,0,326,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -4.0}",1.0,0.7204295285953577,0.7383177570093458,0.7180020835220581
2,2,0,54,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -3.0}",1.0,0.7544687724335966,0.7585576259489302,0.7539344336219337
3,3,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -2.0}",1.0,0.7969513367955375,0.815704272363151,0.7943093827392709
4,4,0,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -1.0}",1.0,0.7829607156431557,0.77746138996139,0.7837576153176675
5,5,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0.0}",1.0,0.804386951631046,0.800533468104223,0.8049086237304628
6,6,0,195,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -5.0}",1.0,0.742542242703533,0.7302551020408162,0.7442681955725434
7,7,0,163,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -4.0}",1.0,0.7373809523809525,0.6979181044398436,0.7428159553908057
8,8,0,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -3.0}",1.0,0.7365360063021216,0.7355405681585938,0.7366885964912282
9,9,0,40,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -2.0}",1.0,0.7804192311845373,0.7531472359058565,0.7851550866520925
10,10,0,36,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -1.0}",1.0,0.8029585167400294,0.7505811773528309,0.8116481602438492
11,11,0,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0.0}",1.0,0.7810259838478782,0.7517643710870803,0.7858835663895188
12,12,0,212,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -5.0}",1.0,0.730457093397082,0.7035995058400719,0.7342005572774803
13,13,0,101,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -4.0}",1.0,0.7501204238921003,0.6620243293824081,0.7635608007360172
14,14,0,52,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -3.0}",1.0,0.7313944228485044,0.6697572362278246,0.7418102496134307
15,15,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -2.0}",1.0,0.7851920517208596,0.6933843537414967,0.8026436168493195
16,16,0,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': -1.0}",1.0,0.7902774339082831,0.6944385872430152,0.8080666992824528
17,17,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0.0}",1.0,0.8249335580031782,0.7856935457109672,0.8326950214958486
18,18,0,346,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': -5.0}",1.0,0.7323529017018306,0.725773558368495,0.7333674133283763
