,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.8001978441806522,0.8306562137049942,0.7961433209647494
1,1,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.7990061348035241,0.7640982776089159,0.8043783328655627
2,2,0,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.7945347239065405,0.7682388989351014,0.7986079987550576
3,3,0,32,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",1.0,0.7973193947282784,0.7452774498229043,0.8056378561992829
4,4,0,44,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",1.0,0.7920406628528456,0.7826159951159951,0.7934736532689749
5,5,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",1.0,0.807656219771716,0.7328052621826942,0.8207781134281815
6,6,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",1.0,0.7910279580492346,0.7422641853676336,0.7996391520072169
7,7,0,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",1.0,0.8084941520467837,0.7524033297529539,0.8188266719430153
8,8,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",1.0,0.7844636015325671,0.759999039938556,0.7885300970254053
9,9,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",1.0,0.8057426174130979,0.7812671045429666,0.8100385884010632
10,10,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",1.0,0.7845918367346938,0.752705239802014,0.7906396685118643
11,11,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",1.0,0.7968430129060969,0.7453571428571428,0.8069100824687417
12,12,0,32,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",1.0,0.8067214974475326,0.7464067678353393,0.8177724512623841
13,13,0,14,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",1.0,0.8167261562867537,0.7305432826051382,0.8340221674876847
14,14,0,13,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",1.0,0.8432337220602527,0.8332596956308297,0.8452041509067987
15,15,0,36,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",1.0,0.8348193807339449,0.7819569688340453,0.8458461208461209
16,16,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",1.0,0.8096403066148289,0.7736702127659575,0.816660075795024
17,17,0,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",1.0,0.801505661286437,0.7041383219954648,0.8207824274490942
18,18,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",1.0,0.8128833388193987,0.770333167989418,0.8213463562220469
19,19,0,39,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",1.0,0.8093565808591715,0.7832015159004778,0.8145767561168112
20,20,0,38,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",1.0,0.7972460948056862,0.7130259295499022,0.8139755425979917
