,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': -5.0}",0.998844598497978,0.7264188055349233,0.6737696600710299,0.7971376528753576,0.7180586317214225
1,1,0,441,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': -4.0}",1.0,0.7584884918315661,0.6380400421496312,0.9052443199502023,0.7440766550522647
2,2,0,100,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': -3.0}",1.0,0.7602211652155219,0.6206730769230769,0.8236011904761904,0.7539303438496988
3,3,0,41,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': -2.0}",1.0,0.8003614066433851,0.549746192893401,0.8610872059667242,0.7940334200221205
4,4,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': -1.0}",1.0,0.8047281228041728,0.5206410879067509,0.9037723214285714,0.7948360680102252
5,5,0,40,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': 0.0}",1.0,0.8038744712007809,0.5394871794871795,0.8599157955865271,0.798101369944963
6,6,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': 1.0}",1.0,0.8011610901536275,0.518220539517274,0.9290764790764791,0.7877774254914395
7,7,0,47,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': 2.0}",1.0,0.8375818196694486,0.4570694087403599,0.8749858276643989,0.8335996439133322
8,8,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': 3.0}",1.0,0.8085366185309075,0.5081401085347804,0.860450487012987,0.8027354497354497
9,9,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': -3.0, 'beta': 4.0}",1.0,0.8186620202353458,0.49821701477330615,0.893313373253493,0.8106960292104063
