,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,231,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",1.0,0.789462601078167,0.5977272727272728,0.708969341161122,0.8062033645366978
1,1,0,64,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",1.0,0.7643652561247216,0.6444007858546169,0.7723779385171791,0.7626544401544401
2,2,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9929577464788732,0.7903420523138833,0.6355555555555555,0.7046536796536795,0.8092475098922092
3,3,0,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",0.997716894977169,0.8077788649706459,0.5754310344827587,0.7159266409266409,0.8264521193092621
4,4,0,96,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",1.0,0.7789691746768312,0.6775599128540305,0.6619820655534941,0.8044155232714554
5,5,0,132,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",1.0,0.800497635543825,0.5802469135802469,0.7031853281853282,0.8205564398461336
6,6,1,463,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",1.0,0.7263337742504409,0.7389473684210527,0.5885416666666666,0.7538921957671957
7,7,1,31,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",1.0,0.7689534883720931,0.653276955602537,0.6683242917420132,0.7916022249355582
8,8,1,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9822222222222222,0.7637566137566136,0.7116564417177914,0.6128095238095238,0.7939460317460317
9,9,1,162,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",1.0,0.7906750700280112,0.5533596837944664,0.7852443609022557,0.7918576886341929
10,10,1,25,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -1.0}",1.0,0.8591092436974791,0.4552058111380145,0.7561030741410488,0.8826279933938894
11,11,1,17,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0.0}",1.0,0.7823809523809524,0.5645514223194749,0.7937538651824366,0.7797511797511797
12,12,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -5.0}",0.9954337899543378,0.7331729723853011,0.7692307692307693,0.6638627819548873,0.7477242830833992
13,13,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -4.0}",0.9976359338061466,0.7429106157829561,0.6817204301075269,0.6646929824561404,0.7600418553588583
14,14,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -3.0}",0.9977064220183486,0.7756389252948885,0.6024096385542169,0.7374429223744292,0.783320215138397
15,15,2,500,25,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': -2.0}",0.9976133651551312,0.786728605523355,0.6209150326797386,0.7769423558897244,0.7888969873663753
