,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,28,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.9108842173597587,0.47863247863247865,0.941609977324263,0.9067781385281386
1,1,0,43,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.9241262737804642,0.45714285714285713,0.9696868008948545,0.9178406084656084
2,2,0,35,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.9168975580922828,0.461839530332681,0.9265454007690033,0.9155205167173252
3,3,0,26,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",1.0,0.9127775846753948,0.4979253112033195,0.8351517530088959,0.9262199266005166
4,4,0,23,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",1.0,0.9296437218955379,0.4708860759493671,0.8628392217101895,0.9414439469995026
5,5,0,45,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",1.0,0.9234066229231418,0.49403341288782815,0.8836734693877553,0.9299294201733225
6,6,0,19,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",1.0,0.9302335128117004,0.48661800486618007,0.8122403748733538,0.951180358829084
7,7,0,20,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",1.0,0.9279173106646058,0.44597249508840864,0.7961107258437357,0.9528733368347337
8,8,0,22,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",1.0,0.9224453342755076,0.48364485981308414,0.7984542508102719,0.9456178361755662
9,9,0,23,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",1.0,0.9231994971901804,0.5416666666666666,0.7377293577981651,0.9609868713840676
10,10,0,31,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",1.0,0.9233393515384037,0.5711159737417943,0.7291090629800308,0.9635185437378002
11,11,0,48,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",1.0,0.9340698064660478,0.40594059405940597,0.7876858435681965,0.9647050865800865
12,12,0,18,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",1.0,0.9298028899309922,0.5060532687651331,0.8106292517006802,0.9558466898954704
13,13,0,27,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",1.0,0.9255794353139486,0.572463768115942,0.7444337194337195,0.964966652674782
14,14,0,14,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",1.0,0.9295297526186762,0.540045766590389,0.7633740883740884,0.964328391734052
15,15,0,42,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",1.0,0.929021803729292,0.5020746887966805,0.7803852442264458,0.9620364065549957
16,16,0,13,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",1.0,0.927624007936508,0.5296912114014252,0.7283182503770739,0.9726153995816916
17,17,0,18,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",1.0,0.9361583671323419,0.4976958525345622,0.7733562462641961,0.9739714933592485
18,18,0,40,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",1.0,0.9252778420930772,0.636986301369863,0.7026421539079768,0.9782012704781009
19,19,0,18,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",1.0,0.9329508135542618,0.5,0.7391918593163406,0.9780676328502415
20,20,0,9,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",1.0,0.9443878951910253,0.4634703196347032,0.7697977158343012,0.9887568870523414
21,21,0,9,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",1.0,0.9528910256410257,0.4,0.7957274011299436,0.9877506265664161
22,22,0,11,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",1.0,0.9436094776893807,0.46462264150943394,0.7663447782546495,0.9846658146359937
23,23,0,17,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",1.0,0.9257030603804799,0.6383495145631068,0.7282388663967612,0.9764033264033264
24,24,0,8,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",1.0,0.9262627992843819,0.6601123595505618,0.7560211640211639,0.9635964912280701
25,25,0,28,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",1.0,0.930285524568393,0.545054945054945,0.7519666666666667,0.9746434494195688
26,26,0,21,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",1.0,0.934923476152593,0.49372384937238495,0.7552165354330708,0.980432511987846
27,27,0,9,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",1.0,0.9320898828787179,0.47902869757174393,0.7712243474795776,0.9706524334909491
28,28,0,28,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",1.0,0.9401241731461064,0.465324384787472,0.7689900153609831,0.983299423533401
29,29,0,12,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",1.0,0.9367475109979161,0.6390977443609023,0.7289013195639702,0.9892893401015229
30,30,0,17,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",1.0,0.9338828563887946,0.5565610859728507,0.7298538521099496,0.9832350049164209
31,31,1,36,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.9356767904011999,0.4236111111111111,0.9399881691807157,0.9350508823908282
32,32,1,40,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.9266036754507628,0.42822966507177035,0.8819969278033793,0.9329996475926171
33,33,1,49,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.914225245653817,0.5,0.8741052942916296,0.9201026907578318
34,34,1,31,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",1.0,0.9162515853799147,0.4686192468619247,0.8826118326118326,0.9214197038219385
35,35,1,34,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",1.0,0.9144960874523219,0.5011037527593819,0.8398164084911074,0.9263590795169743
36,36,1,25,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",1.0,0.9333615436696006,0.3973509933774834,0.8250692137320043,0.9503873944458953
37,37,1,25,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",1.0,0.9142699525292983,0.45746691871455575,0.8499871299871299,0.9250909918107371
38,38,1,35,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",1.0,0.9334703325774755,0.5162907268170426,0.778372008701958,0.9622138601442459
39,39,1,19,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",1.0,0.9230873702746243,0.5042553191489362,0.8398412698412698,0.9395639782774561
40,40,1,24,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",1.0,0.9452204875376609,0.41604010025062654,0.7975563909774436,0.9758373488284202
41,41,1,19,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",1.0,0.9247206121907793,0.5042016806722689,0.7538117594455623,0.959589947089947
42,42,1,18,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",1.0,0.9313790645708122,0.5225,0.7606472166331321,0.9669273378950799
43,43,1,26,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",1.0,0.9258362928170468,0.610079575596817,0.7472126831501831,0.9615953985058893
44,44,1,15,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",1.0,0.9272100660633137,0.5686274509803921,0.754945054945055,0.9643158822983384
45,45,1,18,50,0.5,0.1,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",1.0,0.9346618499373434,0.5,0.7980357142857142,0.9648403136354943
