,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,center_segregation,periphery_segregation
0,0,0,21,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.6026418219461698,0.563431164545026,0.6078424475502612
1,1,0,32,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.6229375786289783,0.6028326955782312,0.6258337161231052
2,2,0,13,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.6322361233245397,0.6142965862143944,0.6347417091836735
3,3,0,25,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.6185559449107653,0.6249659863945578,0.6176835478196463
4,4,0,19,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.6081010951291272,0.6109438394191757,0.6076854020296643
5,5,0,16,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.6255033740403791,0.6519915442812639,0.6217960696377962
6,6,0,21,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.6165884000659086,0.6357371794871796,0.6139783436310304
7,7,0,16,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.6181660947917539,0.5972222222222223,0.6208671894683799
8,8,0,14,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.6151828353117752,0.5951388888888888,0.6178362844164271
9,9,0,20,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.6115022119638392,0.6217142857142858,0.6099785272199065
10,10,0,15,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.6014186564528834,0.5386223643686331,0.6095514236622483
11,11,0,9,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.6177788220551378,0.6026527505979561,0.6199453424273568
12,12,0,15,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.6305400798270414,0.6066095669036844,0.6340729077202023
13,13,0,7,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.6206447884067777,0.6247856014443691,0.6200536439203557
14,14,0,13,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.6130271145285309,0.6500969618616678,0.6077211324944485
15,15,0,16,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.6395143077473905,0.6338063350340136,0.6403638664768233
16,16,0,10,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.5960947994626751,0.5964979195561719,0.59604055861404
17,17,0,5,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.6139695370064885,0.5873539982030549,0.6176817042606516
18,18,0,9,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.6086180713743355,0.5861312266842221,0.6117887310869766
19,19,0,9,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.1}",1.0,0.6147489076931585,0.6825515280739162,0.6057887980964904
20,20,0,14,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.623008658008658,0.580105105105105,0.6292014985448016
21,21,0,7,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.9}",1.0,0.6092678155178155,0.6023326081701716,0.6101672466221512
22,22,0,11,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.8}",1.0,0.6201687937422808,0.6160127431254192,0.6207504223765722
23,23,0,6,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.7}",1.0,0.6036648651555484,0.6158279220779221,0.6019396088545025
24,24,0,8,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.6}",1.0,0.6049286265432099,0.5937755102040816,0.6064715477758956
25,25,0,7,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.5}",1.0,0.6188469542186908,0.5513937282229965,0.6277280790286571
26,26,0,9,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.4}",1.0,0.6156084656084656,0.5712132089016512,0.6213865271419228
27,27,0,7,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.3}",1.0,0.6209777561818378,0.6115897928678198,0.6223362998671239
28,28,0,6,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.2}",1.0,0.6092460540020831,0.5905098831985625,0.6117744233275741
29,29,0,4,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.1}",1.0,0.6159602375625867,0.6146060217809096,0.6161532024950556
30,30,0,7,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.6522593226788431,0.6396549823633156,0.6540318080357143
31,31,0,5,50,0.7,0.3,0.1,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.9}",1.0,0.6175802568218299,0.5993694012258368,0.6199114309855754
