,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,291,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.7337064884433304,0.6832627118644068,0.7507073844030364,0.7313650476824131
1,1,0,167,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.7148407704042714,0.680327868852459,0.7125747508305648,0.7151585748454633
2,2,0,483,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.7384779391982782,0.6459143968871596,0.7387921022067363,0.7384367868553171
3,3,0,268,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.742178044305704,0.6543895055499496,0.7038621900373052,0.7476409486264939
4,4,0,140,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.7190271164021164,0.6976962858486131,0.685611471861472,0.7236799276672694
5,5,0,337,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.7381072361755452,0.6682785299806576,0.7557384244020189,0.7356687608121641
6,6,0,102,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.726659472621123,0.6462147451756556,0.721063492063492,0.7275011140819965
7,7,0,113,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.7206721088435374,0.6959921798631477,0.6907142857142857,0.7247572665429808
8,8,0,218,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.7341247370975571,0.6791522917693446,0.7277260179434092,0.7349743425272609
9,9,0,150,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.7319842619587518,0.6628462273161414,0.7284436701509873,0.7324498304774121
10,10,0,113,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.7167923776550436,0.6687620889748549,0.7165071770334929,0.7168314898137733
11,11,0,134,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.7363800880533722,0.6716269841269841,0.7255952380952381,0.7379018338727077
12,12,0,85,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.7362275041520324,0.6756619144602851,0.7668033720665299,0.7320779220779221
13,13,0,145,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.7387117592134894,0.6579621095750128,0.7129672897196261,0.7423363095238095
14,14,0,88,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.734219430346396,0.6704604242110709,0.7703235653235653,0.7295937363118703
15,15,0,90,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.7503533592778769,0.6292634700939199,0.7407265242545616,0.7516842008121076
16,16,0,116,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.7387310293632463,0.6557878633350331,0.7951842546063652,0.7314027894262729
17,17,0,85,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.7410555463484698,0.6500769625448948,0.7364803791887126,0.741710875331565
18,18,0,50,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.7143941859203818,0.6902017291066282,0.7595836051315502,0.7079553552064938
19,19,0,55,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.1}",1.0,0.7425374462608505,0.6297935103244838,0.7052455357142858,0.7480512336947981
20,20,0,100,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.7551350904734363,0.6347055758207399,0.7503968253968253,0.7558330963440452
21,21,0,39,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.9}",1.0,0.7487357774968395,0.6588170865279299,0.7117902930402931,0.753903673103404
22,22,0,32,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.8}",1.0,0.7390791754699604,0.6821903787103377,0.7040305359812087,0.744170932216535
23,23,0,40,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.7}",1.0,0.7599834636620982,0.6116352201257862,0.742462096946402,0.7626306620209059
24,24,0,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.6}",1.0,0.7546951366076436,0.6275828928399808,0.7107467532467532,0.7608810894799379
25,25,0,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.5}",1.0,0.7671647509578545,0.6137203166226913,0.7735387045813585,0.7662851536952257
26,26,0,40,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.4}",1.0,0.7794959401881181,0.5921052631578947,0.7479058441558442,0.7839595375722543
