,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -5.0}",0.9994331065759637,0.7383172713529855,0.651641352278295,0.7014172335600907,0.74330376294662
1,1,0,113,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -4.0}",1.0,0.7425393608514627,0.6434384537131231,0.7471595655806182,0.7418366212395564
2,2,0,53,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -3.0}",1.0,0.7510739355503158,0.6167549350024073,0.7144122383252818,0.7559700460829493
3,3,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -2.0}",1.0,0.7610702012763868,0.6050706972208678,0.682142857142857,0.7723898400224529
4,4,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': -1.0}",1.0,0.7878771872799177,0.53759765625,0.8356858054226475,0.7814265732115957
5,5,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0.0}",1.0,0.7977768707482993,0.54293059125964,0.866525920713113,0.7887555022008803
6,6,0,435,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -5.0}",1.0,0.7282686407896493,0.6555607695917409,0.7384866275277233,0.7268396886212977
7,7,0,52,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -4.0}",1.0,0.7231139571213101,0.683805862566074,0.7048423423423424,0.7257376948191956
8,8,0,84,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -3.0}",1.0,0.7445502037690436,0.6480246280143663,0.7073904340497261,0.7500935093509351
9,9,0,44,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -2.0}",1.0,0.7671757025649412,0.6121730382293763,0.7174172882004207,0.7754466272490305
10,10,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': -1.0}",1.0,0.7961075827559662,0.5344827586206896,0.7754324776785714,0.7996935088398502
11,11,0,15,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0.0}",1.0,0.8089705477566748,0.5214248838409912,0.7366657473800331,0.8217013045870966
