,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,15,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.8027895221833753,0.5276041666666667,0.7832397587856103,0.8057194278234853
1,1,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.8008303605210529,0.5276532137518685,0.7612968591691995,0.806914429163938
2,2,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.7841685150195788,0.5765069551777434,0.715311986863711,0.7947688564476886
3,3,0,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",1.0,0.7951903416733925,0.5426889106967615,0.7206349206349207,0.8072248781402324
4,4,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",1.0,0.7965973003374578,0.5430950048971597,0.7585881045025014,0.8030196299427068
5,5,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",1.0,0.8012399648080941,0.526368658965344,0.7636472734254991,0.8075223013733795
6,6,0,13,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",1.0,0.809296438073519,0.49510763209393344,0.781864134542706,0.8138989284129097
7,7,0,10,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",1.0,0.8153100298131889,0.49562532166752443,0.819343000358038,0.8145827280064567
8,8,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",1.0,0.8081743242112311,0.551462621885157,0.7244199134199134,0.8242584463953178
9,9,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",1.0,0.8018733903227574,0.5489677077818952,0.7262079831932774,0.8159122653154031
10,10,0,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",1.0,0.8243349258563075,0.4720263281617301,0.786516290726817,0.8313383768062131
11,11,0,14,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",1.0,0.8163948310247793,0.5375328083989501,0.719178952719878,0.835079962217445
12,12,0,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",1.0,0.8015244897959184,0.5419808949220714,0.7175305886243386,0.8180704840075564
13,13,0,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",1.0,0.8022521423147847,0.5518650996423097,0.7799492174492175,0.8065913508260447
14,14,0,15,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",1.0,0.8000516141141142,0.5302593659942363,0.7347815414825725,0.8128419111752444
15,15,0,79,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",1.0,0.7864151952915998,0.5577013659915214,0.7105472764645426,0.8004573267389512
16,16,0,74,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",1.0,0.8006037979351033,0.5310059715204409,0.7540226921093347,0.8090316008833317
17,17,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",1.0,0.815147971882607,0.48166023166023164,0.7615079365079365,0.8253843397824245
18,18,0,54,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",1.0,0.7856493875233228,0.6072507552870091,0.7318778394750126,0.7959452928668084
19,19,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",1.0,0.8150043142964999,0.5118989800874211,0.7289988814317674,0.8324631828208123
20,20,0,48,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",1.0,0.8126528864970646,0.5,0.7397466730800064,0.8275347733595156
21,21,0,70,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",1.0,0.7971568311297431,0.5536750483558994,0.7666179099626199,0.8032067999613638
22,22,0,74,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",1.0,0.8110971320346321,0.5186092066601371,0.7564648910411622,0.8220981634974809
23,23,0,69,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",1.0,0.79769973468997,0.53899652260308,0.7259103641456583,0.8119883903974813
24,24,0,112,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",1.0,0.8054420809496952,0.5381623723869713,0.7599881796690308,0.814038995880042
25,25,0,70,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",1.0,0.8283481278690337,0.4805876180482686,0.7875185368264953,0.8365824278071311
26,26,0,177,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",1.0,0.7924384613283064,0.6161990471148756,0.7749022108843537,0.7957946815089673
27,27,0,245,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",1.0,0.8014034233795733,0.5816692268305171,0.707807881773399,0.8198552976595124
28,28,0,200,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",1.0,0.8065736195468285,0.5712754555198285,0.7092692939244664,0.8263481496312611
29,29,0,500,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",0.9982837528604119,0.8364069140241909,0.4747264200104221,0.8084577733532438,0.841897265408559
30,30,0,46,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",1.0,0.8200474544656572,0.5214504596527069,0.7897086466165413,0.8264880952380952
31,31,1,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",1.0,0.7687762756574066,0.5891114535182331,0.7723951507208389,0.7682555398396983
32,32,1,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",1.0,0.8029644241417497,0.5225943646996278,0.8635350692000938,0.7948590576639358
33,33,1,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",1.0,0.7905367457212062,0.5730788548468106,0.7025974025974026,0.8042932557638439
34,34,1,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",1.0,0.8000729846594509,0.5104008117706748,0.7786910197869102,0.8031740775780509
35,35,1,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",1.0,0.7896879570941006,0.5430398425971471,0.7622730024213074,0.7939388961892248
36,36,1,34,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",1.0,0.8037532882375047,0.5239960822722821,0.7919152801682923,0.8056861826697892
37,37,1,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",1.0,0.804397248187057,0.5328542094455853,0.7468084120807856,0.8144655004859087
38,38,1,40,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",1.0,0.8072518114488918,0.5341188021600393,0.745515574650913,0.8180913091309131
39,39,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",1.0,0.8063826569888926,0.5145290581162325,0.7376984126984126,0.8185693243986922
40,40,1,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",1.0,0.7993465503782066,0.5216554379210779,0.7651729132717726,0.8053144564598748
41,41,1,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",1.0,0.8234605672105673,0.4937938478143551,0.7371076839826839,0.8391610914338188
42,42,1,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",1.0,0.8076919852448022,0.5105506948018528,0.761804465375894,0.8164462081128748
43,43,1,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",1.0,0.8148989479512735,0.508937960042061,0.7546690307328605,0.8267103781707398
44,44,1,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",1.0,0.7998737890571701,0.5284348263714141,0.7713399189463019,0.8053738241708165
45,45,1,49,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",1.0,0.8014557596874671,0.525330899132816,0.7560785798418308,0.8098987195141042
46,46,1,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",1.0,0.7798321712339875,0.6302605210420842,0.6754390408645728,0.7997232947232947
47,47,1,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",1.0,0.827249125638956,0.4787180771156735,0.8209343304108647,0.8284207252894461
