,RunId,iteration,Step,side,density,population,policy,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,22,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.6970960638590695,0.6961780358006773,0.7307200929152148,0.6925761124121781
1,1,0,36,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.732454977350569,0.6943115364167995,0.7129728526924789,0.7352160201829077
2,2,0,184,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.732043706621647,0.6779990286546868,0.7263934606100506,0.7328296703296704
3,3,0,11,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.7265499044294855,0.7150451887293993,0.6961099932930918,0.7308551508252702
4,4,0,25,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.7135574069536332,0.7111553784860558,0.7246085371085371,0.711950759347616
5,5,0,221,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.7349328483491885,0.6857831325301205,0.7290497448979592,0.7357759802577463
6,6,0,319,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.7456448808844702,0.6468797564687976,0.7562338728594886,0.744258064516129
7,7,0,23,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.7142850540105115,0.6875567665758402,0.6683441558441559,0.7206697650633215
8,8,0,40,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.7285124135124135,0.7156913516312792,0.7972315813117699,0.7190707650526187
9,9,0,81,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.7306905973242886,0.7043961596766043,0.7214231354642314,0.732
10,10,0,25,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.7203577618222332,0.6821743388834476,0.7612893949850472,0.7147981502312211
11,11,0,40,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.7213223528113447,0.6948118006103764,0.7234309852973447,0.7210191233551074
12,12,0,40,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.7328586454662186,0.6688607594936709,0.7166666666666668,0.7351128229069405
13,13,0,35,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.7272679626453212,0.6887120835405272,0.7123809523809522,0.7293544732104054
14,14,0,8,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.7165078001418207,0.7020029311187103,0.7129125138427463,0.7170126901185033
15,15,0,13,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.7381842134304474,0.6612394957983193,0.7709627329192547,0.7337173579109064
16,16,0,21,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.7463839285714284,0.6621004566210046,0.7403859174001354,0.7472009591441482
17,17,0,20,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.7398561931895264,0.6630218687872763,0.7135756056808689,0.7437802101849252
18,18,0,9,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.7514989920453307,0.6719160104986877,0.774514091350826,0.7485924459990181
19,19,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.1}",1.0,0.7374133148404993,0.6493005306319344,0.7994603916332887,0.7287743594510022
20,20,0,18,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.7419507882518086,0.6578947368421053,0.7122284397630021,0.746119986456121
21,21,0,6,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.9}",1.0,0.7347224482047943,0.6601752677702045,0.7699589883800411,0.7299619847939176
22,22,0,5,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.8}",1.0,0.7343376720767048,0.6627358490566038,0.738567233060625,0.7337186454207729
23,23,0,15,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.7}",1.0,0.756691940117114,0.6199280945043657,0.7616541353383457,0.756007386452931
24,24,0,6,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.6}",1.0,0.7602258676119034,0.6424403183023872,0.7434607645875251,0.762575187969925
25,25,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.5}",1.0,0.751951229541903,0.6636747624076029,0.7123922902494331,0.757391555181339
26,26,0,8,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.4}",1.0,0.7334311806914546,0.6731994120529152,0.7324189095928225,0.7335668053629218
27,27,0,14,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.3}",1.0,0.7435368143726002,0.656169334021683,0.7713986599664991,0.7398404761904762
28,28,0,10,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.2}",1.0,0.7566259398496241,0.6379837067209776,0.7395616186388718,0.7592503536067892
29,29,0,5,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.1}",1.0,0.7663145443041458,0.5974226804123711,0.7754292582417582,0.7650697245411624
30,30,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.7370345689296128,0.6477893691008445,0.7347367846221058,0.7373691828100646
31,31,0,8,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.9}",1.0,0.780752050678145,0.5656970912738215,0.8086093857832989,0.7770365427098676
32,32,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.8}",1.0,0.7681006036217304,0.5834146341463414,0.7520847048496818,0.770331316095116
33,33,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.7}",1.0,0.7579448692916803,0.6054131054131054,0.7508658008658007,0.7589587983630953
34,34,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.6}",1.0,0.7447317140112528,0.6510443199184921,0.7129032258064517,0.7492816362381579
35,35,0,5,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.5}",1.0,0.7717150904650905,0.5620253164556962,0.7259877313370763,0.7787571652736415
36,36,0,3,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.4}",1.0,0.7581977009641984,0.6135820181731229,0.7328086210787631,0.7616273397963538
37,37,0,3,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.3}",1.0,0.7876639158187111,0.5828220858895705,0.7857940305308726,0.7879122042717976
38,38,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.2}",1.0,0.7731771661894157,0.5875652586616041,0.7397028897028897,0.7781918785439912
39,39,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.1}",1.0,0.7565124443351637,0.6151936444885799,0.7706749672346003,0.754487900078064
40,40,0,3,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.0}",1.0,0.7588207985143918,0.5906567992599445,0.7466429699842022,0.7604429713804712
41,41,0,4,50,0.7,0.3,good,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -0.9}",1.0,0.7993283251708585,0.5489773950484392,0.7904470121381886,0.8005226480836237
