,RunId,iteration,Step,side,density,population,homophily,town,mobility,rel_dist_random,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.7929025961872677,0.5303893637226971,0.7660076530612245,0.7967718750955745
1,1,0,12,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.7825900445163902,0.5747357825868143,0.7065958815958815,0.7935237478011296
2,2,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.7954829931972789,0.5280954748881154,0.7752425044091711,0.7983330229092942
3,3,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.805893025765547,0.5021855269548324,0.8058830328247804,0.8058943461926144
4,4,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.8016345482474514,0.5256749602964531,0.7968990929705214,0.802299729256251
5,5,0,15,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.7930196046308431,0.543859649122807,0.7896751223854028,0.7934873949579831
6,6,0,26,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.7784128775663764,0.5695110258868649,0.7947238989492509,0.7761843672683956
7,7,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.8032083000798085,0.5203730976926854,0.7668077183480028,0.8080724690129377
8,8,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.7947416700391204,0.5664225941422594,0.8360290750915751,0.7892260757867693
9,9,0,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7837103856433755,0.5487077534791253,0.792393594605984,0.7824193295739349
10,10,0,19,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.784847249402044,0.5672247590055809,0.7820915926179084,0.7852205042742956
11,11,0,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.7905769017058397,0.5576508620689655,0.7574276600592389,0.7951803512102515
12,12,0,32,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.8095441017316017,0.5412748171368861,0.7847397808680995,0.8131984540882845
13,13,0,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.8014220157893269,0.5321199143468951,0.8324664817383263,0.7971614161987246
14,14,0,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.8063121967267045,0.5182481751824818,0.7776497695852534,0.8104041353383459
15,15,0,35,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.7989506420545746,0.5231143552311436,0.8070076939072572,0.7977610451014706
16,16,0,46,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.801873795761079,0.49270428015564205,0.8452561327561326,0.7962669401964441
17,17,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.7880418192918193,0.5384615384615384,0.7531599736668859,0.7930914260300518
18,18,0,32,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.7963949231473256,0.5333333333333333,0.8177633122214402,0.7936249467858663
19,19,0,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.8293516048184979,0.47926509186351707,0.831115229110512,0.8291111621497473
20,20,0,47,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.802649963864129,0.5248262164846077,0.8107089232089232,0.8015009022234456
21,21,0,42,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.7942428352238479,0.5696135521439916,0.7930574633699634,0.7944039838157485
22,22,0,21,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.7943875616230565,0.5365365365365365,0.8072714062150681,0.7926113422715364
23,23,0,48,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.8129157218442932,0.5073492143943233,0.8113701499118166,0.8131313830441737
24,24,0,37,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",True,1.0,0.7968067632850242,0.5378630705394191,0.790042223786066,0.797708998185345
25,25,0,46,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",True,1.0,0.8234010534236268,0.46876587100050787,0.8339428115743905,0.8219914389300187
26,26,0,63,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",True,1.0,0.7840498917141253,0.5578296049500238,0.7485714285714287,0.7891801322071246
27,27,0,73,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",True,1.0,0.8047180346175321,0.49696119682094436,0.7793614219881501,0.8082138319114176
28,28,0,47,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",True,1.0,0.8037209926224012,0.49379178605539636,0.8438995215311005,0.7983587240771148
29,29,0,140,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",True,1.0,0.8089258719360759,0.5211842776927004,0.7663143284219517,0.8150922406600538
30,30,0,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",True,1.0,0.7991489849908217,0.5121951219512195,0.7374772036474164,0.8086276433398734
31,31,1,16,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.0, 'beta': 0}",True,1.0,0.7762960050764223,0.5464774951076321,0.8003159557661927,0.7729506522080779
32,32,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.1, 'beta': 0}",True,1.0,0.7796740994854203,0.5565991102323282,0.7768429487179488,0.7800562405364482
33,33,1,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.2, 'beta': 0}",True,1.0,0.7949659863945578,0.5289380976346251,0.7882936507936509,0.795905506922456
34,34,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.3, 'beta': 0}",True,1.0,0.7805933267802534,0.5747357825868143,0.7921299288946347,0.7789192696119814
35,35,1,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.4, 'beta': 0}",True,1.0,0.7971995778920987,0.5155075187969925,0.7881153305203937,0.7985726433430514
36,36,1,33,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.5, 'beta': 0}",True,1.0,0.7932268065823993,0.5527219225110348,0.7510739614994935,0.7995686238643986
37,37,1,18,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.6, 'beta': 0}",True,1.0,0.7683961112918971,0.566145092460882,0.7911096548711227,0.7651766363242306
38,38,1,22,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.7, 'beta': 0}",True,1.0,0.7868966999892507,0.5402912621359224,0.7996821544151641,0.7852148330596606
39,39,1,24,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.8, 'beta': 0}",True,1.0,0.7854252454862211,0.5536881419234361,0.7930099030762748,0.784338976401714
40,40,1,17,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0.9, 'beta': 0}",True,1.0,0.7955416429520014,0.48775981524249423,0.7620748299319728,0.8002574211502782
41,41,1,20,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.0, 'beta': 0}",True,1.0,0.7901762173796072,0.5493372606774669,0.8218334541938602,0.7862115157569703
42,42,1,29,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.1, 'beta': 0}",True,1.0,0.8011052004656325,0.5041851304775973,0.805326688815061,0.8005173636812238
43,43,1,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.2, 'beta': 0}",True,1.0,0.8079531359542684,0.5180111618467783,0.8182613510520487,0.8065242086518682
44,44,1,47,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.3, 'beta': 0}",True,1.0,0.8041721026310067,0.5236625514403292,0.781700379266751,0.8075001560257131
45,45,1,36,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.4, 'beta': 0}",True,1.0,0.8105216274444812,0.5005235602094241,0.784767316017316,0.8142888804457953
46,46,1,28,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.5, 'beta': 0}",True,1.0,0.797951417561244,0.5402666666666667,0.9039223057644109,0.7848770871985157
47,47,1,31,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.6, 'beta': 0}",True,1.0,0.7961458077206787,0.5462718138551031,0.7979794670161642,0.7958836846213895
48,48,1,50,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.7, 'beta': 0}",True,1.0,0.8175505563225858,0.4764243614931238,0.750430359937402,0.8267980348672457
49,49,1,39,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.8, 'beta': 0}",True,1.0,0.8133202421862216,0.48863062152602327,0.7745875104427735,0.8191378066378067
50,50,1,79,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 1.9, 'beta': 0}",True,1.0,0.8226341835794573,0.4753787878787879,0.8051953039280227,0.8250112167982772
51,51,1,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.0, 'beta': 0}",True,1.0,0.8019491805992386,0.5101832993890021,0.8293838862559242,0.798128241395568
52,52,1,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.1, 'beta': 0}",True,1.0,0.7875225337659817,0.5637619553666312,0.7266754850088183,0.7962786713619492
53,53,1,30,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.2, 'beta': 0}",True,1.0,0.7842744530244531,0.5471969333972209,0.7447183098591549,0.7896650214788411
54,54,1,25,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.3, 'beta': 0}",True,1.0,0.7988322849417867,0.5089820359281437,0.7427508503401361,0.8071959609409676
55,55,1,23,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.4, 'beta': 0}",True,1.0,0.793287798990564,0.5150320354854608,0.761007591442374,0.7976579775140927
56,56,1,51,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.5, 'beta': 0}",True,1.0,0.8038437328954571,0.5121580547112462,0.7345185185185185,0.814139556812824
57,57,1,54,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.6, 'beta': 0}",True,1.0,0.8101061004435237,0.5004916420845624,0.8402028668610301,0.8064123207203984
58,58,1,71,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.7, 'beta': 0}",True,1.0,0.8026053864168617,0.518341307814992,0.8276671245421245,0.7991301587301587
59,59,1,93,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.8, 'beta': 0}",True,1.0,0.8004273857777043,0.5361256544502618,0.8286834040546912,0.7966846213895395
60,60,1,75,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 2.9, 'beta': 0}",True,1.0,0.7921771648140525,0.5273359840954275,0.7406369047619047,0.7988925081433226
61,61,1,60,50,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 3.0, 'beta': 0}",True,1.0,0.7775201775625505,0.5742913000977518,0.8713560551124003,0.7657683225865045
