,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,426,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.8465116279069768,0.3828740157480315,0.8349369428136552,0.8481533740439181
1,1,0,153,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.8358313480653905,0.38577691183633706,0.8230082417582416,0.8375734813847158
2,2,0,62,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.8530879480619514,0.36465781409601633,0.8202491181657848,0.8577699198491278
3,3,0,26,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.8698652162014231,0.3217263364394311,0.8844454887218044,0.8676666036785083
4,4,0,23,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.0}",1.0,0.9043061381144282,0.23681592039800994,0.8824650502402794,0.9074406721213831
5,5,0,33,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': 0.0}",1.0,0.8974228973231252,0.25232729054385106,0.8934909611992945,0.8979751068177597
6,6,0,230,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -5.0}",1.0,0.8388897943661207,0.4062031015507754,0.8454968944099378,0.837892005127724
7,7,0,321,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -4.0}",1.0,0.8545586695326279,0.38377789874795865,0.8206614863518629,0.8599995202916626
8,8,0,248,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -3.0}",1.0,0.8660800352529676,0.3578560168155544,0.8445100732600732,0.8698977276410904
9,9,0,42,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -2.0}",1.0,0.8859856645674511,0.2965378825890617,0.8514617751862649,0.893083583083583
10,10,0,23,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -1.0}",1.0,0.9036742922975642,0.24898989898989898,0.8511864543114543,0.914463458994709
11,11,0,19,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': 0.0}",1.0,0.902333996243509,0.2463179278821737,0.8632958801498127,0.9094878582867602
12,12,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -5.0}",0.996629213483146,0.8290362493311931,0.4287769784172662,0.777529200359389,0.8380457331447431
13,13,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -4.0}",0.9971214738054116,0.8490404912684705,0.4060385216033316,0.7949254881808838,0.859351643330396
14,14,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -3.0}",0.9971379507727532,0.8464551475999672,0.39970717423133234,0.8032594417077176,0.855052782952577
15,15,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -2.0}",0.9994305239179955,0.8950333550276602,0.30454545454545456,0.845546737213404,0.9051070531022554
16,16,0,23,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -1.0}",1.0,0.8996360153256706,0.28693039559339006,0.8192210659098076,0.916524273130671
17,17,0,19,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': 0.0}",1.0,0.907993389990557,0.2537897310513447,0.8581474450245216,0.9182417707520167
18,18,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -5.0}",0.9948275862068966,0.8291283524904215,0.4244917715392062,0.7383928571428571,0.8468267595499738
19,19,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -4.0}",0.994279176201373,0.851875612945407,0.4164511122607346,0.7704770003239391,0.8683344795965154
20,20,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -3.0}",0.9988412514484357,0.8679771560999834,0.38218539616778874,0.8025198412698412,0.8817479796967875
21,21,0,91,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -2.0}",1.0,0.8934690571483025,0.2909002904162633,0.8472744360902255,0.903187510298237
22,22,0,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -1.0}",0.9994334277620397,0.9081228922163767,0.26156141223272006,0.8620190791548407,0.9176398789180743
23,23,0,66,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': 0.0}",1.0,0.9041274838498651,0.3018766756032172,0.8243253968253967,0.9206724915259815
24,24,1,410,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.836164471660655,0.39732372619660317,0.8138378123526638,0.839169125345008
25,25,1,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",0.9988870339454646,0.8507982881522113,0.3998025666337611,0.8025983909545553,0.8574876274971333
26,26,1,54,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.8501599956611345,0.36571998006975587,0.8540220293724967,0.8496240195170157
27,27,1,53,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.8882520425847982,0.2585034013605442,0.8752043735949315,0.8902814864263462
28,28,1,34,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.0}",1.0,0.8927457417075357,0.27307878202029967,0.8756085842408712,0.8951598832836988
29,29,1,20,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': 0.0}",1.0,0.9174685245814368,0.2049219119734974,0.938953488372093,0.9145337931869062
30,30,1,354,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -5.0}",1.0,0.8429337509491268,0.4065540194572453,0.8402648938363224,0.8433380171740827
31,31,1,95,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -4.0}",1.0,0.8439630307568573,0.39863445378151263,0.8040011855364553,0.8504879661891857
32,32,1,102,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -3.0}",1.0,0.8602838159407502,0.359035004730369,0.834242191500256,0.8651211083634518
33,33,1,51,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -2.0}",1.0,0.8733669195833673,0.3220588235294118,0.8518907563025211,0.877316558807431
34,34,1,37,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -1.0}",1.0,0.9055167259211376,0.2523977788995457,0.8620843776106935,0.9138634685161994
35,35,1,22,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': 0.0}",1.0,0.9232882176556353,0.2098377812663527,0.90742147922999,0.9263761543264648
36,36,1,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -5.0}",0.9988372093023256,0.8397688261351053,0.405320813771518,0.8016465973362524,0.8465884983191357
37,37,1,499,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -4.0}",1.0,0.8555239767059545,0.3657921291624622,0.8362923946557039,0.8592600911783301
38,38,1,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -3.0}",0.9994334277620397,0.8648792661540536,0.3808353808353808,0.8097091777887625,0.8756815395534908
39,39,1,402,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -2.0}",1.0,0.8875151246269258,0.2887750349324639,0.8841012514220706,0.8881918938075907
40,40,1,50,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -1.0}",1.0,0.9005710469648649,0.2702439024390244,0.8539104383475246,0.910322952710496
41,41,1,20,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': 0.0}",1.0,0.9218902691511388,0.21752903907074975,0.8683508520465042,0.9331162759634009
42,42,1,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -5.0}",0.9925115207373272,0.8379388852315119,0.4278481012658228,0.7503712671509282,0.855865635636628
43,43,1,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -4.0}",0.9942528735632183,0.8518835522714834,0.40563663814796175,0.7906513776078993,0.8645889098179175
44,44,1,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -3.0}",0.9955580233203776,0.8626331931995451,0.37437070938215106,0.8285394694790669,0.869392960111523
45,45,1,112,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -2.0}",1.0,0.8968427662872107,0.29354682193110143,0.8814238566713813,0.900001609839338
46,46,1,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -1.0}",0.9982678983833718,0.9068301165731881,0.2678391959798995,0.8456677704194262,0.9197469197469197
47,47,1,152,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': 0.0}",1.0,0.9001423320343808,0.2715748415407119,0.8605999684642067,0.9085461278107301
48,48,2,380,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.8428350349706568,0.3997020854021847,0.8398569293188128,0.8432623950481094
49,49,2,95,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.8468154588568101,0.37821171634121276,0.83975,0.8477469629908653
50,50,2,72,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.8616644633561926,0.34040404040404043,0.879175293305728,0.8592828984418999
51,51,2,30,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.8841207837301587,0.295513151108819,0.8887961726746774,0.8834599295464554
52,52,2,30,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.0}",1.0,0.9040695470911502,0.23686818632309217,0.8910821535821536,0.905945410044304
53,53,2,17,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': 0.0}",1.0,0.9007553366174056,0.2353228962818004,0.9291950113378685,0.8968518518518519
54,54,2,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -5.0}",0.9994321408290744,0.8339201211432897,0.4349385245901639,0.8339593596059113,0.8339141673674048
55,55,2,191,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -4.0}",1.0,0.8491205552386385,0.37189672293942405,0.8141632373113854,0.8547461368653422
56,56,2,147,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -3.0}",1.0,0.8638394542414927,0.37035150280183393,0.8012352309344791,0.8749412698412697
57,57,2,34,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -2.0}",1.0,0.8792728368677737,0.3179769654481723,0.8317264008076729,0.8885207003763704
58,58,2,29,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -1.0}",1.0,0.892606730014348,0.2820388349514563,0.85,0.9009138845755693
59,59,2,30,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': 0.0}",1.0,0.896109439791853,0.2669594924353343,0.8481777548564552,0.9050804375804375
60,60,2,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -5.0}",0.9959467284308049,0.8430742824054925,0.4192185850052798,0.7736849390919157,0.8552611105708451
61,61,2,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -4.0}",0.9994226327944573,0.8537336412625095,0.38414634146341464,0.8140810359231411,0.8615435877184322
62,62,2,323,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -3.0}",1.0,0.8663209577616356,0.37253912165572944,0.8138524457402009,0.876772002839076
63,63,2,368,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -2.0}",1.0,0.8943296807359307,0.3067831449126413,0.8645061728395061,0.9003840770758065
64,64,2,330,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': -1.0}",1.0,0.8970193699969948,0.2915167095115681,0.8623338381288912,0.903742661448141
65,65,2,21,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 2, 'beta': 0.0}",1.0,0.9159284885647995,0.23606889564336372,0.8754946911196912,0.9243097238895558
66,66,2,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -5.0}",0.9920091324200914,0.8565781963470319,0.3925619834710744,0.7930535100638194,0.8692309572699716
67,67,2,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -4.0}",0.9931506849315068,0.8460935801261144,0.41515002459419575,0.7967772967772968,0.8561602029127803
68,68,2,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -3.0}",0.9938650306748467,0.8605376729609858,0.39521250610649733,0.830012957563978,0.866524508402427
69,69,2,90,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -2.0}",1.0,0.8982875147801784,0.2958891013384321,0.8458626073380172,0.9091870354140293
70,70,2,38,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': -1.0}",1.0,0.9120436507936507,0.2497536945812808,0.8834309133489461,0.9181251037000165
71,71,2,186,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 3, 'beta': 0.0}",1.0,0.906977991419037,0.2823871906841339,0.8554619522227495,0.9173362598212297
72,72,3,433,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.8383063637354256,0.4089089089089089,0.8294053105113013,0.839567976112718
73,73,3,212,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.8492550862021178,0.36644703497212366,0.8641065649560795,0.8472316704459562
74,74,3,91,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.8626651527663088,0.33703329969727547,0.8760600130463143,0.8607237401909804
75,75,3,23,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.8687622030589001,0.31446540880503143,0.8624166091557396,0.8696101939807557
76,76,3,24,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.0}",1.0,0.896201304777947,0.2571711177052423,0.8827407407407406,0.8981477230995225
77,77,3,15,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 0, 'beta': 0.0}",1.0,0.9010903800982275,0.23019571295433364,0.9202834467120181,0.8985296787075694
78,78,3,500,50,0.7,0.3,0.5,True,"{'model': 'gravity', 'alpha': 1, 'beta': -5.0}",0.9994391475042064,0.8251181796330421,0.42629854936827327,0.7883779761904762,0.8308327932598832
