,RunId,iteration,Step,side,density,population,homophily,town,mobility,total_happy,total_segregation,fsi,center_segregation,periphery_segregation
0,0,0,288,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -5.0}",1.0,0.7273073272242707,0.6709804781750384,0.6863023809523808,0.7333144977885676
1,1,0,254,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.9}",1.0,0.7334838013219471,0.66973079448457,0.7368861607142858,0.7329768141249514
2,2,0,229,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.8}",1.0,0.7352150734620599,0.6550430368572059,0.700103519668737,0.7404512792443828
3,3,0,238,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.7}",1.0,0.7412722408187261,0.6600086843247938,0.7412024269167127,0.7412827199845456
4,4,0,124,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.6}",1.0,0.7139640704766755,0.6901047232314597,0.7205258516662025,0.7129780734789523
5,5,0,212,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.5}",1.0,0.7465291878172589,0.6561435384964797,0.7217164792980533,0.7503102410897088
6,6,0,339,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.4}",1.0,0.7407899500398233,0.6657620985979195,0.6865698640852644,0.7484237117801732
7,7,0,137,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.3}",1.0,0.7349380579887772,0.6721275666229795,0.7478589885566631,0.7330038542832276
8,8,0,122,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.2}",1.0,0.7375406554916186,0.6749341527655839,0.7725536881419234,0.7324197358897674
9,9,0,380,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.1}",1.0,0.7307526061530638,0.6643447975620375,0.6922122052704577,0.7365596004346736
10,10,0,97,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -4.0}",1.0,0.7318402194807406,0.6587823039859834,0.7227928571428571,0.7331652579016376
11,11,0,228,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.9}",1.0,0.7373963500850768,0.6793118659020733,0.744045214045214,0.7364503346610275
12,12,0,111,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.8}",1.0,0.7365385548158657,0.6629139072847682,0.7216941756782395,0.7387142857142857
13,13,0,104,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.7}",1.0,0.7454709300240306,0.6531453362255966,0.7347226074895977,0.7470670621189651
14,14,0,107,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.6}",1.0,0.7425436250386325,0.6519597344185051,0.7730238095238096,0.7381967647298509
15,15,0,111,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.5}",1.0,0.7435947172431959,0.6295363960562198,0.7459467120181406,0.7432533969533681
16,16,0,95,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.4}",1.0,0.7331038840117052,0.6815654881031799,0.717212200562506,0.7353675383701493
17,17,0,59,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.3}",1.0,0.7515316718587747,0.6507142857142857,0.7621462724434036,0.7499918605967952
18,18,0,75,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.2}",1.0,0.7498906643211415,0.6572026995578311,0.73122692416927,0.7526558664702994
19,19,0,73,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.1}",1.0,0.7550217115534739,0.6341242937853108,0.7658936921461972,0.7534284315782114
20,20,0,61,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -3.0}",1.0,0.7534622077811447,0.6297709923664122,0.7597547619047619,0.7525403568986927
21,21,0,43,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.9}",1.0,0.7489030057582491,0.6361674579197237,0.7461673601479427,0.7493088995897984
22,22,0,49,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.8}",1.0,0.756599313163559,0.6483693155718879,0.7473999415717206,0.7579036021483108
23,23,0,50,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.7}",1.0,0.7494914295344023,0.6342683191998261,0.7541435056512877,0.7487967267092774
24,24,0,40,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.6}",1.0,0.7313450206426796,0.6561411149825784,0.7395190476190475,0.7301383440887428
25,25,0,39,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.5}",1.0,0.7526045794010998,0.6192201150649904,0.7624046170192216,0.7512134424745999
26,26,0,39,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.4}",1.0,0.7691039908835225,0.6017619155184097,0.7588036168665938,0.7706895948743775
27,27,0,35,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.3}",1.0,0.7655205976105312,0.5988925802879291,0.7368856377892522,0.7696951321512212
28,28,0,22,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.2}",1.0,0.7609087724384528,0.6102779003087782,0.7492926490984744,0.7626544110495088
29,29,0,27,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.1}",1.0,0.7678223731984393,0.5972985347985348,0.7468680245535715,0.7710182702810049
30,30,0,28,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -2.0}",1.0,0.7818717525521119,0.5736168267032464,0.8019936890418817,0.7789218778474004
31,31,0,26,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.9}",1.0,0.7731302521008403,0.5843602957651803,0.7377314175186516,0.7785240621447518
32,32,0,23,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.8}",1.0,0.771655185679422,0.5851272015655578,0.739213634672619,0.7764710958317802
33,33,0,32,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.7}",1.0,0.7689237475880798,0.6031506258092361,0.7853916757542713,0.7664398113879979
34,34,0,24,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.6}",1.0,0.7841461578307013,0.5688195991091314,0.7552973892259606,0.7884965689332503
35,35,0,19,75,0.7,0.3,0.3,True,"{'model': 'gravity', 'alpha': 0, 'beta': -1.5}",1.0,0.7779954205574041,0.5798101811906816,0.7736347963843072,0.7786353628183036
